epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.8314,2.04096,3.64655,2.39819,0.29859,0.3467,0.22138,0.06114,2.19695,3.88076,2.46434,0.000660767,0.000660767,0.000660767
2,164.266,1.86159,2.78672,2.19238,0.26619,0.2808,0.1923,0.05085,2.73722,7.45099,2.80069,0.00131429,0.00131429,0.00131429
3,241.427,1.86881,2.45151,2.23781,0.58725,0.53405,0.56419,0.18449,2.31067,2.41976,2.59975,0.00195462,0.00195462,0.00195462
4,319.557,1.84711,2.19792,2.19641,0.59629,0.40688,0.45255,0.14986,2.57104,3.14633,2.72712,0.0019406,0.0019406,0.0019406
5,398.4,1.84467,2.08953,2.19359,0.69361,0.46132,0.5159,0.17171,2.87539,2.13377,2.86627,0.0019208,0.0019208,0.0019208
6,477.078,1.8388,1.94582,2.17947,0.52685,0.63897,0.61127,0.25956,2.10078,2.27028,2.22027,0.001901,0.001901,0.001901
7,555.361,1.7822,1.86783,2.12705,0.6384,0.57669,0.65556,0.24105,2.18321,1.90883,2.26587,0.0018812,0.0018812,0.0018812
8,633.728,1.77349,1.78984,2.115,0.6308,0.62173,0.64586,0.27889,2.08535,1.92621,2.14387,0.0018614,0.0018614,0.0018614
9,709.36,1.72811,1.69959,2.06303,0.75848,0.64789,0.74544,0.27444,2.22009,1.87871,2.25312,0.0018416,0.0018416,0.0018416
10,789.57,1.72814,1.73675,2.09199,0.73717,0.68195,0.7456,0.22976,2.36716,1.7988,2.46726,0.0018218,0.0018218,0.0018218
11,866.253,1.65585,1.6731,2.0161,0.75208,0.5788,0.70109,0.22942,2.22617,1.67826,2.20127,0.001802,0.001802,0.001802
12,943.82,1.71505,1.63406,2.05287,0.76792,0.74499,0.7838,0.33665,2.0459,1.4942,2.1334,0.0017822,0.0017822,0.0017822
13,1021.46,1.71045,1.64536,2.04689,0.72619,0.7192,0.79072,0.28739,2.12936,1.46124,2.16187,0.0017624,0.0017624,0.0017624
14,1097.52,1.66053,1.57925,2.03071,0.7706,0.69628,0.78322,0.31391,2.13123,1.54877,2.15653,0.0017426,0.0017426,0.0017426
15,1176.29,1.65112,1.59872,1.99877,0.71655,0.7192,0.7595,0.30378,2.04161,1.64714,2.18136,0.0017228,0.0017228,0.0017228
16,1253.24,1.63185,1.52557,1.98591,0.77551,0.65043,0.76503,0.34994,1.94922,1.77597,2.06794,0.001703,0.001703,0.001703
17,1329.55,1.63751,1.52244,1.99383,0.80208,0.80123,0.83501,0.35459,2.06355,1.42355,2.24394,0.0016832,0.0016832,0.0016832
18,1406.42,1.61195,1.46047,1.96073,0.81548,0.75645,0.82253,0.35064,2.01594,1.42005,2.20622,0.0016634,0.0016634,0.0016634
19,1481.94,1.62375,1.45356,1.95354,0.83591,0.80229,0.82616,0.30628,2.27238,1.32602,2.64853,0.0016436,0.0016436,0.0016436
20,1556.51,1.57275,1.44632,1.94252,0.83654,0.77719,0.83654,0.3562,2.13467,1.2815,2.31138,0.0016238,0.0016238,0.0016238
21,1632.49,1.56754,1.37599,1.90702,0.8625,0.80516,0.8815,0.37312,2.04181,1.30321,2.21741,0.001604,0.001604,0.001604
22,1708.93,1.5321,1.38737,1.91496,0.81257,0.75358,0.82933,0.34858,2.08121,1.3462,2.22307,0.0015842,0.0015842,0.0015842
23,1787.1,1.57106,1.40808,1.92861,0.84332,0.77364,0.83938,0.33487,2.14088,1.29904,2.29791,0.0015644,0.0015644,0.0015644
24,1862.46,1.54334,1.35765,1.89748,0.87163,0.78223,0.85197,0.34912,2.09241,1.28592,2.23823,0.0015446,0.0015446,0.0015446
25,1940.65,1.55586,1.36823,1.93232,0.7854,0.80747,0.85571,0.37,2.03929,1.32523,2.1741,0.0015248,0.0015248,0.0015248
26,2017.43,1.51394,1.32405,1.89168,0.83665,0.80802,0.84885,0.36775,2.09952,1.14299,2.37185,0.001505,0.001505,0.001505
27,2096.37,1.52615,1.3432,1.90867,0.84889,0.80482,0.87346,0.33352,2.05173,1.12159,2.1249,0.0014852,0.0014852,0.0014852
28,2174.74,1.52451,1.31406,1.87124,0.82296,0.77364,0.84472,0.41723,1.88691,1.17448,2.01524,0.0014654,0.0014654,0.0014654
29,2252.08,1.49651,1.28816,1.90604,0.89712,0.83954,0.89211,0.37349,2.05066,1.04356,2.17133,0.0014456,0.0014456,0.0014456
30,2329.74,1.4858,1.27349,1.86029,0.80825,0.80516,0.87616,0.36131,1.90889,1.17272,1.97488,0.0014258,0.0014258,0.0014258
31,2406.34,1.48767,1.25672,1.86433,0.83264,0.86959,0.88304,0.33927,2.06167,1.05413,2.20442,0.001406,0.001406,0.001406
32,2484.95,1.483,1.24397,1.86152,0.85317,0.80229,0.88496,0.4094,1.94996,1.09621,2.07287,0.0013862,0.0013862,0.0013862
33,2562.67,1.47257,1.24977,1.85882,0.87909,0.81375,0.87983,0.37939,2.05556,1.10001,2.32034,0.0013664,0.0013664,0.0013664
34,2640.63,1.48419,1.23231,1.846,0.86364,0.79848,0.87765,0.34708,1.9903,1.04687,2.0639,0.0013466,0.0013466,0.0013466
35,2718.2,1.44451,1.19982,1.82122,0.9041,0.85673,0.89752,0.38265,1.93516,1.01438,2.05998,0.0013268,0.0013268,0.0013268
36,2793.69,1.44716,1.18174,1.83437,0.85379,0.81988,0.88777,0.38392,1.85537,1.04091,1.91925,0.001307,0.001307,0.001307
37,2871.03,1.47363,1.24252,1.8251,0.90302,0.88041,0.91432,0.37691,1.88032,1.04234,2.00434,0.0012872,0.0012872,0.0012872
38,2947.78,1.44446,1.21349,1.82578,0.86459,0.84161,0.87918,0.38913,1.98321,1.15385,2.15597,0.0012674,0.0012674,0.0012674
